図鑑No,種族名,タイプ1,タイプ2,特性1,特性2,隠れ特性,HP,攻撃,防御,特攻,特防,素早さ
747,,,,,,,,,,,,
748,,,,,,,,,,,,
749,,,,,,,,,,,,
750,,,,,,,,,,,,
751,,,,,,,,,,,,
752,,,,,,,,,,,,
753,,,,,,,,,,,,
754,,,,,,,,,,,,
755,,,,,,,,,,,,
756,,,,,,,,,,,,
757,,,,,,,,,,,,
758,,,,,,,,,,,,
759,,,,,,,,,,,,
760,,,,,,,,,,,,
761,,,,,,,,,,,,
762,,,,,,,,,,,,
763,,,,,,,,,,,,
764,,,,,,,,,,,,
765,,,,,,,,,,,,
766,,,,,,,,,,,,
767,,,,,,,,,,,,
768,,,,,,,,,,,,
769,,,,,,,,,,,,
770,,,,,,,,,,,,
771,,,,,,,,,,,,
772,,,,,,,,,,,,
773,,,,,,,,,,,,
774,,,,,,,,,,,,
775,,,,,,,,,,,,
776,,,,,,,,,,,,
777,,,,,,,,,,,,
778,,,,,,,,,,,,
779,,,,,,,,,,,,
780,,,,,,,,,,,,
781,,,,,,,,,,,,
782,,,,,,,,,,,,
783,,,,,,,,,,,,
784,,,,,,,,,,,,
785,,,,,,,,,,,,
786,,,,,,,,,,,,
787,,,,,,,,,,,,
788,,,,,,,,,,,,
789,,,,,,,,,,,,
790,,,,,,,,,,,,
791,,,,,,,,,,,,
792,,,,,,,,,,,,
793,,,,,,,,,,,,
794,,,,,,,,,,,,
795,,,,,,,,,,,,
796,,,,,,,,,,,,
797,,,,,,,,,,,,
798,,,,,,,,,,,,
799,,,,,,,,,,,,
800,,,,,,,,,,,,
801,,,,,,,,,,,,
802,,,,,,,,,,,,
803,,,,,,,,,,,,
804,,,,,,,,,,,,
805,,,,,,,,,,,,
806,,,,,,,,,,,,
807,,,,,,,,,,,,
808,,,,,,,,,,,,
809,,,,,,,,,,,,
810,,,,,,,,,,,,
811,,,,,,,,,,,,
812,,,,,,,,,,,,
813,,,,,,,,,,,,
814,,,,,,,,,,,,
815,,,,,,,,,,,,
816,,,,,,,,,,,,
817,,,,,,,,,,,,
818,,,,,,,,,,,,
819,,,,,,,,,,,,
820,,,,,,,,,,,,
821,,,,,,,,,,,,
822,,,,,,,,,,,,
823,,,,,,,,,,,,
824,,,,,,,,,,,,
825,,,,,,,,,,,,
826,,,,,,,,,,,,
827,,,,,,,,,,,,
828,,,,,,,,,,,,
829,,,,,,,,,,,,
830,,,,,,,,,,,,
831,,,,,,,,,,,,
832,,,,,,,,,,,,
833,,,,,,,,,,,,
834,,,,,,,,,,,,
835,,,,,,,,,,,,
836,,,,,,,,,,,,
837,,,,,,,,,,,,
838,,,,,,,,,,,,
839,,,,,,,,,,,,
840,,,,,,,,,,,,
841,,,,,,,,,,,,
842,,,,,,,,,,,,
843,,,,,,,,,,,,
844,,,,,,,,,,,,
845,,,,,,,,,,,,
846,,,,,,,,,,,,
847,,,,,,,,,,,,
848,,,,,,,,,,,,
849,,,,,,,,,,,,
850,,,,,,,,,,,,
851,,,,,,,,,,,,
852,,,,,,,,,,,,
853,,,,,,,,,,,,
854,,,,,,,,,,,,
855,,,,,,,,,,,,
856,,,,,,,,,,,,
857,,,,,,,,,,,,
858,,,,,,,,,,,,
859,,,,,,,,,,,,
860,,,,,,,,,,,,
861,,,,,,,,,,,,
862,,,,,,,,,,,,
863,,,,,,,,,,,,
864,,,,,,,,,,,,
865,,,,,,,,,,,,
866,,,,,,,,,,,,
867,,,,,,,,,,,,
868,,,,,,,,,,,,
869,,,,,,,,,,,,
870,,,,,,,,,,,,
871,,,,,,,,,,,,
872,,,,,,,,,,,,
873,,,,,,,,,,,,
874,,,,,,,,,,,,
875,,,,,,,,,,,,
876,,,,,,,,,,,,
877,,,,,,,,,,,,
878,,,,,,,,,,,,
879,,,,,,,,,,,,
880,,,,,,,,,,,,
881,,,,,,,,,,,,
882,,,,,,,,,,,,
883,,,,,,,,,,,,
884,,,,,,,,,,,,
885,,,,,,,,,,,,
886,,,,,,,,,,,,
887,,,,,,,,,,,,
888,,,,,,,,,,,,
889,,,,,,,,,,,,
890,ムゲンダイナ,,,,,,,,,,,
